70028,60364,1,92.642,67260,1556
70029,60364,1,84.486,54808,271
70161,60364,1,141.72,588,0
70162,60364,1,147.58,0,0
70163,60364,1,130.6,32940,631
70164,60364,1,31.975,32228,0
70168,60364,1,100.96,50160,336
70169,60364,1,147.74,0,0
70170,60364,1,136.99,0,0
70171,60364,1,73.204,37048,1018
70172,60364,1,109.61,6821,0
70174,60364,1,121.84,1359,0
70176,60364,1,43.999,17332,0
70179,60364,1,105.47,21220,572
70180,60364,1,54.657,15476,97
70181,60364,1,120.38,10288,431
70182,60364,1,83.331,38172,1056
70183,60364,1,56.027,53255,701
70184,60364,1,135.68,0,0
70185,60364,1,60.794,55949,730
70186,60364,1,106.15,50016,0
70187,60364,1,145.77,0,0
70188,60364,1,122.4,21002,41
70189,60364,1,62.054,27012,0
70191,60364,1,169.57,0,0
70192,60364,1,108.24,38483,274
70193,60364,1,75.796,64559,317
70194,60364,1,90.728,14426,133
70195,60364,1,79.224,35936,198
70196,60364,1,115.46,15692,89
70197,60364,1,162.61,0,0
70198,60364,1,157.58,0,0
70199,60364,1,105.35,63039,775
70200,60364,1,96.765,63861,14
70201,60364,1,158.26,0,0
70202,60364,1,112.28,52757,416
70203,60364,1,101.82,57086,16
70204,60364,1,161.06,0,0
70205,60364,1,33.915,24562,0
70206,60364,1,174.18,0,0
70207,60364,1,97.277,38433,317
70208,60364,1,191.85,0,0
70209,60364,1,207.82,0,0
70211,60364,1,204.05,0,0
70212,60364,1,101.47,43079,392
70213,60364,1,134.74,7409,0
70214,60364,1,116.44,46829,593
70215,60364,1,186.84,0,0
70216,60364,1,164.36,0,0
70217,60364,1,131.43,0,0
70218,60364,1,178.94,0,0
70219,60364,1,121.89,19960,0
70220,60364,1,142.57,4966,0
70221,60364,1,60.804,40720,70
70222,60364,1,45.665,28269,776
70223,60364,1,72.653,51569,252
70224,60364,1,114.62,9262,0
70225,60364,1,96.547,64248,929
70227,60364,1,112.19,25676,243
70228,60364,1,151.94,0,0
70229,60364,1,69.459,49633,75
70230,60364,1,11.238,4.5073e+05,412
70231,60364,1,106.24,47825,730
70232,60364,1,129.18,0,0
70233,60364,1,95.209,1429,0
70234,60364,1,113,22186,0
70235,60364,1,144.85,0,0
70236,60364,1,154.19,0,0
70237,60364,1,47.254,32714,143
70238,60364,1,178.7,0,0
70239,60364,1,170.26,0,0
70240,60364,1,170.91,0,0
70241,60364,1,158.42,0,0
70242,60364,1,184.85,0,0
70243,60364,1,188.26,0,0
70244,60364,1,142.26,0,0
70028,60054,1,83.824,65112,2095
70029,60054,1,67.199,86435,2954
70161,60054,1,165.25,0,0
70162,60054,1,151.73,0,0
70163,60054,1,139.69,2811,63
70164,60054,1,45.928,33102,708
70168,60054,1,124.26,5337,0
70169,60054,1,145.85,0,0
70170,60054,1,114.57,14673,400
70171,60054,1,87.552,39123,643
70172,60054,1,126.24,2013,0
70174,60054,1,132.79,0,0
70176,60054,1,61.426,46731,728
70179,60054,1,100.54,60004,1221
70180,60054,1,35.124,49605,1974
70181,60054,1,108.03,31298,1079
70182,60054,1,103.43,14386,0
70183,60054,1,45.291,47028,1115
70184,60054,1,136.23,0,0
70185,60054,1,65.639,43999,1858
70186,60054,1,123.47,41040,680
70187,60054,1,163.17,0,0
70188,60054,1,102.89,79165,1309
70189,60054,1,80.115,45094,1965
70191,60054,1,163.13,0,0
70192,60054,1,120.62,13310,109
70193,60054,1,99.153,48133,724
70194,60054,1,72.889,72772,1009
70195,60054,1,63.924,40245,1655
70196,60054,1,107.49,25784,365
70197,60054,1,165.09,0,0
70198,60054,1,170.32,0,0
70199,60054,1,84.904,68145,2868
70200,60054,1,96.761,14613,622
70201,60054,1,180.35,0,0
70202,60054,1,113.41,68683,2374
70203,60054,1,122.25,0,0
70204,60054,1,184.27,0,0
70205,60054,1,57.329,63614,2043
70206,60054,1,191.33,0,0
70207,60054,1,120.64,532,0
70208,60054,1,198.91,0,0
70209,60054,1,216.25,0,0
70211,60054,1,184.9,0,0
70212,60054,1,78.793,67183,1760
70213,60054,1,137.86,0,0
70214,60054,1,93.655,53747,1062
70215,60054,1,170.25,0,0
70216,60054,1,144.87,0,0
70217,60054,1,109.4,8520,403
70218,60054,1,193.17,0,0
70219,60054,1,140.3,0,0
70220,60054,1,154.15,0,0
70221,60054,1,38.33,50048,695
70222,60054,1,40.113,40703,673
70223,60054,1,49.388,38083,2227
70224,60054,1,101.94,48394,874
70225,60054,1,109.5,55570,501
70227,60054,1,107.33,60921,957
70228,60054,1,135.03,0,0
70229,60054,1,91.672,52123,1887
70230,60054,1,15.584,1.4148e+05,508
