62 642
43 44 2253
43 45 1974
43 46 1253
43 50 4993
43 51 947
44 1 5695
44 18 12
44 20 824
44 23 385
44 36 912
44 37 541
44 41 1462
44 42 2427
44 43 2253
44 45 4636
44 50 452
45 1 2627
45 18 3174
45 37 3403
45 40 445
45 41 419
45 42 574
45 43 1974
45 44 4636
45 50 3000
46 1 112
46 5 3142
46 11 12
46 16 513
46 41 3055
46 42 1174
46 43 1253
46 47 88
46 48 2492
46 49 2273
46 50 742
46 51 3913
47 46 88
47 48 1798
47 49 525
47 51 5782
47 52 4183
47 53 3608
48 5 2502
48 16 1984
48 17 137
48 41 47
48 46 2492
48 47 1798
48 49 7496
48 51 5343
48 52 1004
49 5 3139
49 16 2275
49 17 56
49 41 25
49 46 2273
49 47 525
49 48 7496
49 51 3393
49 52 1
50 1 1065
50 41 1223
50 42 92
50 43 4993
50 44 452
50 45 3000
50 46 742
50 51 901
51 5 607
51 41 721
51 43 947
51 46 3913
51 47 5782
51 48 5343
51 49 3393
51 50 901
51 52 4036
51 53 2927
52 47 4183
52 48 1004
52 49 1
52 51 4036
52 53 1909
53 47 3608
53 51 2927
53 52 1909
54 2 7353
54 32 267
54 33 583
54 55 4554
54 56 6152
54 57 1601
54 58 96
54 59 5
54 60 5076
55 2 10000
55 31 814
55 32 4078
55 33 3632
55 34 814
55 54 4554
55 56 5589
55 57 2351
55 60 2545
56 2 9948
56 32 1335
56 33 27
56 54 6152
56 55 5589
56 57 4143
56 58 1181
56 59 643
56 60 4106
57 2 7016
57 32 425
57 54 1601
57 55 2351
57 56 4143
57 58 2638
57 59 1195
57 60 196
58 2 4082
58 54 96
58 56 1181
58 57 2638
58 59 7513
58 60 861
59 2 2955
59 54 5
59 56 643
59 57 1195
59 58 7513
59 60 1061
60 2 6596
60 33 1330
60 54 5076
60 55 2545
60 56 4106
60 57 196
60 58 861
60 59 1061
61 6 5930
61 7 2456
61 8 1496
61 9 5956
61 10 131
61 11 2648
61 13 5986
61 15 219
61 17 764
61 25 198
61 26 261
61 62 1053
62 6 4064
62 8 3800
62 9 2000
62 13 3227
62 61 1053
