0,60008,60019,60026,60027,60032,60052,60055,60078,60079,60099,60105,60109,60110,60111,60114,60118,60129,60132,60139,60142,60147,60150,60158,60161,60162,60164,60170,60177,60184,60187,60188,60189,60194,60195,60196,60203,60204,60212,60213,60216,60218,60001,60002,60003,60004,60006,60009,60010,60011,60012,60013,60021,60022,60023,60025,60029,60037,60038,60039,60040,60041,60042,60043,60044,60046,60080,60097,60101,60102,60103,60104,60112,60120,60124,60130,60133,60135,60138,60140,60141,60149,60157,60159,60167,60169,60182,60187,60198,60208,60209,60210,60214,60217,60219,60221,60223,60224,60093,60092,60145,60034,60108,60059,60181,60137,60123,60176,60115,60028,60146,60136,60066,60076,60172,60048,60050,60166,60088,60072,60068,60134,60085,60049,60056,60075,60030,60096,60151,60131,60094,60090,60069,60215,60045,60024,60063,60228,60154,60122,60081,60087,60173,60201,60084,60057,60106,60073,60178,60156,60107,60211,60165,60077,60153,60082,60053,60190,60148,60074,60098,60179,60089,60083,60119,60163,60095,60186,60160,60191,60171,60080,60144,60222,60117,60202,60058,60067,60125,60116,60168,60047,60121,60183,60086,60206,60175,60091,60197,60100,60143,60127,60185,60199,60220,60174
70014,0,478,0,0,0,0,0,382,5,153,0,0,0,152,0,188,0,1696,0,350,814,461,39,28,58,238,0,0,0,348,293,0,15449,41,0,257,116,365,110,0,0,1380,381,0,580,236,1084,28,900,0,419,1250,461,755,422,1493,143,131,41,9,0,68,0,92,0,3410,126,292,645,883,0,614,279,408,90,454,437,571,0,170,30,190,460,74,0,0,348,144,0,0,0,0,321,209,0,1436,380,1740,641,342,0,161,428,0,215,442,1632,253,881,0,297,493,2704,900,658,250,376,3712,290,382,1538,0,73,490,37,588,220,110,0,0,0,547,288,0,729,225,80,309,0,447,767,56,375,136,80,0,0,520,415,0,355,0,0,0,0,1059,0,156,99,0,151,0,118,759,0,301,143,683,267,170,3410,0,384,20,0,120,93,41,99,182,291,0,188,250,0,0,93,250,121,154,0,0,0,1000,1270
70016,0,3093,0,0,12,0,681,259,97,0,448,119,211,19,347,377,370,312,0,454,198,268,0,948,18,922,0,50,0,0,157,6009,2794,0,76,24,259,107,82,0,187,898,1368,975,1777,560,1652,1491,715,609,172,637,378,164,378,100,555,245,0,457,92,0,422,639,186,648,0,30,810,759,1399,181,870,1197,421,0,1293,1774,1386,282,0,0,545,590,148,0,0,298,297,145,176,137,0,439,352,0,1026,1066,261,21,0,106,578,0,234,793,1752,127,460,259,461,1054,138,445,206,0,333,168,1356,242,419,0,880,1889,1438,497,0,573,229,45,486,0,0,0,1,531,110,304,639,244,303,49,0,491,0,0,0,0,16,0,0,76,0,133,249,413,20,0,195,0,16,57,2079,471,1524,0,935,1028,32,93,648,19,0,0,0,357,179,147,0,299,25,166,229,78,258,0,60,0,317,0,390,0,488,185,897
70023,205,219,0,0,0,0,8,0,11,83,0,0,240,265,0,1469,1357,1172,0,16,341,23,0,540,126,223,0,0,0,132,291,0,662,574,45,6,914,202,6,0,0,633,1036,887,223,796,739,79,252,0,1055,39,640,57,198,227,842,72,35,0,967,663,0,158,469,654,329,299,1011,1200,369,1066,1597,241,1721,1416,3302,476,0,280,0,0,229,367,0,283,132,273,59,1343,420,548,0,0,0,302,0,0,214,208,235,1035,896,327,695,35,761,797,249,444,2268,2597,258,0,1239,210,728,395,649,1704,26,1310,88,825,510,378,783,488,603,0,0,37,115,0,619,0,0,0,0,0,118,0,714,85,417,379,0,1087,545,379,454,36,0,308,116,558,160,383,615,0,0,505,448,0,248,0,360,0,891,28,654,489,0,41,311,259,252,162,238,67,0,161,106,0,0,0,0,764,329,0,293,884,562,0,711
70024,0,74,0,0,0,313,592,0,0,0,0,0,95,194,64,217,320,629,224,0,0,0,0,0,0,1568,0,511,0,0,0,0,774,96,0,0,396,0,46,0,0,439,979,382,28,306,300,59,0,0,0,215,215,585,153,768,271,0,1056,272,812,1236,678,2203,148,799,188,156,477,1114,950,822,584,0,557,127,0,805,0,186,0,0,0,1835,0,507,0,857,350,710,1755,604,0,0,0,0,0,0,0,898,0,0,0,635,93,624,121,171,1886,0,932,0,448,24,501,436,695,844,1117,1259,0,813,404,743,1076,332,0,666,7,0,0,1208,0,0,106,565,0,1460,0,406,660,154,99,146,365,0,91,239,683,1015,0,118,0,99,0,264,159,0,22,0,0,0,684,97,108,0,0,0,0,262,799,94,0,158,256,85,397,23,56,303,0,55,225,175,0,579,0,526,709,0,777,235,853,0,116
70025,0,0,0,0,0,0,0,41,0,617,0,227,128,121,0,33,0,0,0,0,214,0,0,879,0,2070,0,0,0,0,446,0,320,0,0,0,0,0,0,0,0,277,171,552,1749,535,0,0,141,0,229,116,0,572,558,496,590,0,80,0,3,685,0,35,0,0,242,1652,719,2000,686,923,1249,29,185,43,0,0,0,6,0,0,690,710,56,82,0,502,59,479,382,0,0,0,0,0,0,0,0,0,0,1039,2063,311,72,716,0,0,35,0,9,607,194,627,2086,507,429,135,627,1034,0,1129,316,1133,1408,258,219,475,687,0,0,161,0,0,189,0,0,168,43,0,417,24,0,30,0,135,340,345,405,0,0,0,0,0,245,239,0,0,69,0,0,249,1074,1036,448,0,0,258,279,573,0,505,0,64,0,1016,341,0,195,267,770,337,45,0,0,0,0,264,0,0,0,333,300,0,717
70026,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,912,0,0,0,0,32,0,0,0,0,0,0,1045,0,0,75,0,0,0,178,214,0,0,0,0,43,1100,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,185,432,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,279,0,1104,0,219,663,0,0,1044,0,0,0,271,0,302,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,955,0,0,332,0,0,272,0,0,0,39,216,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,345,0,0,138,547,0,255,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
70027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,353,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,219,55,0,0,0,218,4,1397,329,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,269,217,0,0,0,0,0,0,0,0,0,0,0,0,338,0,760,0,0,0,0,0,0,0,138,0,0,857,0,0,78,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,53,0,0,678,152,0,0,0,0,119,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,272,0,0,0,0,0,2
70030,0,51,19,0,0,0,0,0,116,0,0,0,0,14,135,21,0,344,0,1251,19,100,0,269,168,0,0,0,0,412,35,0,303,0,49,0,0,909,0,0,0,75,99,0,164,0,205,152,54,344,607,210,0,118,341,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,515,0,0,684,1022,1517,0,0,118,0,195,0,0,0,412,0,0,0,0,0,27,0,64,0,928,401,908,14,0,710,1122,0,269,0,0,0,0,535,72,1469,783,0,0,0,0,739,221,0,1019,2393,0,353,184,317,531,229,13,0,23,499,0,0,496,0,0,0,135,0,976,0,0,208,0,14,0,0,395,0,0,0,0,0,0,0,137,0,0,0,0,0,410,0,0,0,68,84,0,0,147,240,0,91,93,0,0,20,0,0,877,0,0,282,0,0,440,8,0,613,0,25,231,55,0
70031,404,209,0,0,531,0,0,0,0,0,0,238,0,377,82,0,0,93,434,446,74,0,0,0,0,1429,0,193,0,0,86,0,9,0,0,0,0,0,0,306,0,1255,34,0,1152,0,828,129,218,0,0,241,0,1662,370,244,0,0,246,394,320,0,0,0,0,229,0,581,126,0,552,0,368,36,428,167,657,353,438,530,290,0,0,484,0,53,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,39,0,0,0,357,97,324,1589,195,524,833,795,0,351,940,255,438,180,235,557,802,0,0,460,565,0,0,153,0,0,462,0,0,780,0,0,166,0,1400,0,78,0,0,0,0,0,0,0,199,0,0,676,184,0,0,0,0,0,413,0,449,0,154,1052,147,149,229,84,0,350,89,78,96,267,0,0,226,0,797,10,0,0,0,0,0,0,0,11,0,0,293
