0,60008,60019,60026,60027,60032,60052,60055,60078,60079,60099,60105,60109,60110,60111,60114,60118,60129,60132,60139,60142,60147,60150,60158,60161,60162,60164,60170,60177,60184,60187,60188,60189,60194,60195,60196,60203,60204,60212,60213,60216,60218,60001,60002,60003,60004,60006,60009,60010,60011,60012,60013,60021,60022,60023,60025,60029,60037,60038,60039,60040,60041,60042,60043,60044,60046,60080,60097,60101,60102,60103,60104,60112,60120,60124,60130,60133,60135,60138,60140,60141,60149,60157,60159,60167,60169,60182,60187,60198,60208,60209,60210,60214,60217,60219,60221,60223,60224,60093,60092,60145,60034,60108,60059,60181,60137,60123,60176,60115,60028,60146,60136,60066,60076,60172,60048,60050,60166,60088,60072,60068,60134,60085,60049,60056,60075,60030,60096,60151,60131,60094,60090,60069,60215,60045,60024,60063,60228,60154,60122,60081,60087,60173,60201,60084,60057,60106,60073,60178,60156,60107,60211,60165,60077,60153,60082,60053,60190,60148,60074,60098,60179,60089,60083,60119,60163,60095,60186,60160,60191,60171,60080,60144,60222,60117,60202,60058,60067,60125,60116,60168,60047,60121,60183,60086,60206,60175,60091,60197,60100,60143,60127,60185,60199,60220,60174
70014,16744,62755,31001,73466,30829,8161,21465,1.4743e+05,27166,21683,20516,15998,6317,30031,2.0202e+05,18848,15261,37311,15530,43966,28518,23091,31564,61988,6836,12747,13745,28897,16098,29641,31935,11883,4.2554e+05,11373,12057,34787,9281,23877,18413,16092,52841,37901,10761,13863,26323,24553,41490,38293,34177,19624,14122,20004,22881,1.8472e+05,26887,60251,36135,20038,29723,9297,13148,15396,16214,28286,4585,3.694e+05,15989,10624,20445,4536,0,22369,9881,10447,21187,15279,28039,18541,23219,11720,13469,13133,12774,12548,17461,5844,29641,26572,26386,7744,1544,20363,12841,5751,38627,21124,48153,35921,9997,20911,10792,30092,34946,15683,19488,14930,29724,12531,99219,19345,14625,14257,2.494e+05,36945,14918,9486,14494,1.5989e+05,20695,19598,28808,58265,20420,26752,19731,1.4714e+05,22430,25550,11381,8645,12179,10374,24637,0,43155,13581,33493,27517,9428,20534,30340,17337,2.4395e+05,29824,13081,4045,2129,11271,13275,15418,11127,13296,1801,4885,11934,14669,8498,8308,10630,15848,14253,14869,83637,30811,18404,25964,39050,33672,22730,21429,3.694e+05,9829,14175,8370,13972,10939,6854,26992,19470,14775,18844,2274,27807,1.3578e+05,0,11083,10631,22288,0,6041,11225,12353,39155,36011,40635
70016,25402,1.7586e+05,21987,23265,53178,36349,64055,51079,32690,26821,28936,1.4524e+05,40912,24883,32913,37534,6074,33392,26112,18810,41543,28126,5358,54020,17950,42202,17127,27974,8256,31667,38837,3.9146e+05,40367,9999,16709,50028,50980,22190,46335,34268,8805,1.823e+05,18898,51748,44385,39520,40032,3.5793e+05,42692,20687,20283,15391,7427,19968,5882,45072,37440,31902,6190,24555,21712,18034,42066,73829,21581,19094,14679,19881,45389,57312,34224,8693,20357,1.8924e+05,32852,10420,34042,25655,18966,15385,12643,0,12489,17077,37648,1980,31667,26941,33729,32349,47004,2526,0,17002,27183,6320,46597,25509,16405,52186,10425,1035,43110,1147,23068,38047,32111,39244,39696,26951,27329,25377,29993,38843,24085,32014,52308,69572,4.1731e+05,5074,33083,2896,39259,49584,74204,23332,0,30734,27520,20949,17094,953,1891,58852,49432,1.5082e+05,20073,18414,24299,19510,6171,17082,8581,26071,15260,3074,31374,0,12165,6409,14221,24563,12833,14056,12288,36525,1.275e+05,22064,25241,26537,9363,9755,1.1836e+05,33990,62999,0,54136,40555,8721,29639,19094,13079,0,6811,3026,24948,27964,25905,6021,33518,21998,5891,22920,29925,26990,0,19233,13405,27228,2457,37634,0,34289,26658,33767
70023,43084,54662,20802,41962,34025,18521,29376,23141,23304,24982,11860,20142,63486,91352,16788,1.3659e+05,1.8816e+05,33521,23140,25835,50926,34124,31435,81991,17685,28866,17339,36784,16312,44522,58342,16571,38332,1.1512e+05,15757,33166,51936,13931,11184,8327,39165,31283,37921,15822,15331,24972,43358,35977,33611,20908,21085,13243,21781,23261,14930,33788,17667,9082,38384,9402,50958,17155,12336,26841,19348,14249,21638,19558,37122,36900,19271,19628,1.1671e+05,18678,58791,26893,37519,29325,44356,30795,15522,14194,21170,1.3965e+05,37719,7285,44522,12959,41958,44502,32334,1.4993e+05,13666,5248,6123,12465,0,0,4460,26267,20283,22517,47672,18481,24238,12962,27864,57573,9199,32401,26580,26801,19420,17026,1.008e+05,24317,49146,44196,21426,52349,25400,30319,13489,89106,26214,24298,15788,39442,35863,5237,0,39810,18917,3112,52877,12688,0,13956,16764,2454,17258,7449,12093,14328,29258,11051,14888,98150,8740,10471,9597,25142,9116,20485,17439,7595,8256,11356,12799,18190,3179,15277,13633,34832,36976,9564,53957,44372,30843,9402,14249,16336,17565,89571,41269,48414,20422,18942,21597,11668,22319,10017,26858,15399,53453,14022,1333,2.0491e+05,16870,12032,8763,13164,34435,0,30257
70024,39587,41172,28466,73076,18932,18056,37677,44134,21090,12817,29263,51229,55273,68250,62411,43020,60624,64487,19191,0,0,11951,26070,0,4784,37497,20407,70615,2308,0,6895,17639,96315,35551,283,43722,56439,0,19311,16355,563,39850,31845,45181,23463,29770,18903,35415,12426,4426,0,4666,12980,46840,34127,71467,11980,18752,36552,16815,44871,1.0897e+05,48307,86260,10968,33991,8952,13276,25108,45232,25421,38059,23630,28367,27587,15732,0,23782,0,4778,15145,15743,0,38797,45298,3473,0,20746,49280,30873,41179,99073,0,0,0,0,0,0,0,36159,51577,18383,0,1.6673e+05,9357,26090,25164,58142,33884,8532,15377,7479,41506,21082,35803,30136,58907,61823,36667,43140,4206,46322,30905,43111,46857,57918,0,27816,20302,0,0,24596,0,14441,9339,32568,0,39657,11810,22700,39234,10970,31335,13624,21676,7833,27618,26830,28610,23339,7654,28642,0,22555,5376,14136,13334,12409,18615,13206,3552,0,38496,43408,47908,576,16892,12399,2501,18376,33991,13228,0,13821,32563,18821,26144,8617,20061,30818,3276,12293,50001,48124,35558,66057,0,71969,25301,12163,21116,9056,62502,0,42439
70025,47869,27155,37077,38119,79203,30503,57380,19038,17481,28513,29759,51387,45493,28050,19352,66961,23077,16437,15244,0,24889,0,13346,38832,1142,34640,14213,14921,22298,24797,50879,37443,29164,51722,27639,13688,8695,0,0,11085,8601,74539,40476,43854,34310,18330,19730,29553,1839,25279,9377,30590,3057,16014,27725,29836,0,0,34314,6963,26223,35147,22319,40825,474,12407,15310,27467,48978,43670,35187,14905,52830,39650,43335,2181,0,10586,0,24595,7581,12042,22755,53475,12414,0,24797,554,33913,12482,0,16054,16501,0,13876,0,0,708,0,25246,16702,22540,51206,0,21266,10684,30128,26414,20098,9242,10983,36296,20122,119,52386,33448,18927,47314,62104,34683,0,33025,14581,63785,74714,16744,10843,34037,32385,0,0,29263,0,13541,9686,32430,1902,11179,33824,7924,16392,0,12323,11020,15386,20890,32800,8382,11709,10781,0,16012,400,0,17236,27162,9137,9892,11367,18759,0,14543,31030,15828,59139,0,5313,32586,15860,0,12407,20198,11107,37036,11002,27978,30886,2575,10414,4341,39092,20928,23157,11685,2584,0,0,41144,6559,1785,34034,10884,15380,0,15188
70026,7432,0,21939,0,0,3723,1220,0,0,22019,24627,10361,0,2486,6154,0,0,9250,0,0,0,0,18861,24499,0,20045,8264,0,33120,20853,38206,0,0,0,0,18030,0,45336,0,0,49385,0,0,8451,16066,30717,0,0,0,23827,14839,39268,14873,0,0,29006,0,0,0,0,0,0,4462,126,0,0,27210,17941,19566,15793,12652,0,0,0,0,0,0,0,0,0,0,0,0,0,17483,0,20853,0,15657,0,0,0,22723,15251,30755,41589,45233,27440,24875,0,0,26598,0,0,0,14288,0,22125,6804,0,0,0,0,0,0,16923,0,2396,0,0,0,0,0,0,28596,0,24111,0,0,12615,23846,0,23142,0,0,347,24458,10191,0,1032,0,0,0,0,0,9338,24342,0,0,0,0,12784,0,1422,0,12567,0,0,0,25314,0,37787,4450,6560,32077,23755,0,32461,5270,0,0,0,22945,0,2174,0,0,0,0,0,0,0,0,0,0,0,8538,0,0,0,0,1071,16141,21249,0
70027,10023,0,0,0,0,9219,0,0,0,20394,2740,0,17174,3031,0,0,19731,0,0,0,0,0,0,0,0,6513,0,1394,0,0,0,0,0,15944,0,34735,25060,0,32125,3082,0,0,8971,0,4521,26481,0,0,0,0,0,0,0,0,0,2085,30162,22478,50060,0,0,35146,18788,48392,15424,0,14867,9927,8843,15049,13392,0,8889,0,0,0,0,0,0,0,0,0,0,17264,168,16886,0,10787,8266,11085,22023,11521,0,0,0,0,0,0,0,0,0,0,0,25311,0,20094,25077,5,0,0,0,2266,0,29037,0,6959,27856,0,0,15755,0,0,0,3671,9779,0,0,0,0,0,0,13962,0,12287,0,0,0,0,13,0,0,11330,0,0,0,0,7563,9598,0,0,26398,10144,0,0,0,0,0,0,0,13173,15771,0,0,14523,13301,0,0,0,0,20492,0,0,0,607,0,0,0,0,0,16511,0,3115,0,0,22138,0,0,2611,9246,0,0,0,0,0,20894
70030,2307,43536,64360,1.0095e+05,42242,0,8146,32316,15172,0,14339,18741,0,8498,20236,21242,0,15524,17859,54198,18275,17884,19918,30826,15453,310,0,0,14021,17440,51397,11952,46835,0,34668,0,0,53207,9208,0,10401,23166,22450,5205,21389,0,34392,32272,28244,23568,20697,20877,3944,16733,65218,10836,0,2289,0,0,736,0,0,0,0,25524,0,0,0,0,0,22068,22706,10112,15214,18206,20606,18238,18388,14328,16777,15518,6300,0,2698,0,17440,0,0,0,0,0,20877,10089,30757,13583,80326,32793,36128,24630,12542,28374,42621,0,17847,0,0,997,19968,11953,18643,26161,33429,0,14172,0,0,96823,9808,424,39283,80321,0,26264,13095,21263,22902,17670,7908,14557,34304,3632,0,0,36548,3193,30973,8837,34064,9826,33381,0,23484,18743,0,25548,6280,0,11050,11070,0,0,13911,2479,23157,1556,18618,5604,10280,0,0,0,30287,0,3647,0,48958,54470,6387,0,25524,12506,19732,9832,5159,12206,246,17035,18947,0,31600,0,17758,17827,0,0,27200,1650,0,17060,2989,14997,13977,23426,0
70031,37363,55453,25076,22934,32269,36949,26799,31471,28349,0,39074,54422,5166,5511,24007,36413,23670,19020,29678,25417,31152,10950,0,45239,13531,39027,10482,19987,7586,11717,22809,20626,39900,23155,18679,0,2236,0,32531,49233,0,36437,32129,40861,52715,0,34086,43811,23039,13629,7178,13255,0,18307,15683,34944,4648,20885,5043,49322,19208,0,0,0,0,14291,0,6310,5842,0,35624,2710,45847,28693,27870,13400,15267,17902,26434,21456,19365,2583,2489,20432,0,15608,11717,46697,14347,2261,0,20808,0,0,0,0,0,0,0,32911,31733,0,38861,11121,20665,0,6957,0,36870,33032,15484,22535,31248,36382,24039,33778,0,64753,34678,22387,14636,12256,62477,53953,72075,20056,0,27744,26961,0,0,22123,0,0,37855,34021,0,15967,28643,23090,6084,20577,16692,17573,24928,122,39855,13769,9409,0,2462,8031,9426,156,8958,27861,18847,8802,13078,0,0,4310,53886,0,67549,0,42377,22261,15722,36032,14291,19740,0,26702,2715,5249,7454,22433,0,0,7163,248,9993,25552,11169,1723,0,32900,0,10528,16809,2593,11402,0,56669
